2024-02-08 14:35:26,197 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:35:26,205 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:35:29,784 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:38:10,811 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:38:10,813 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:38:10,814 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-08 14:38:10,889 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:38:10,897 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-02-08 14:38:14,272 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:38:14,272 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:38:14,273 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:38:17,453 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:39:04,036 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:39:04,043 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:39:04,044 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-08 14:39:07,581 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:39:07,581 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:39:07,593 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:39:10,643 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:39:29,412 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:39:29,415 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:39:29,416 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-08 14:39:29,492 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:39:29,499 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-02-08 14:39:32,899 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:39:32,899 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:39:32,906 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:39:35,905 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:40:23,549 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:40:23,738 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
